,Name,Manufacturer,Image,Cartridge,Country,Introduced,Type
113,Parinco mod. 3R,Parinco,,9×19mm Parabellum,Spain,1959,SMG
114,Pindad PM2,PT Pindad,,9×19mm Parabellum,Indonesia,2006,SMG
115,Pistol Mitralieră model 1996 RATMIL,RomArm via Uzinele Mecanice Cugir,,9×19mm Parabellum,Romania,1996,SMG
116,PM-63 RAK,"FB ""Łucznik"" Radom",,9×18mm Makarov,Poland,1964,SMG
117,PP-19 Bizon,Izhmash,,9×18mm Makarov9×19mm Parabellum.380 ACP7.62×25mm Tokarev,Russia,1993,SMG
118,PP-90,KBP Instrument Design Bureau,,9×18mm Makarov,Soviet Union,1990s,"SMG,Other"
119,PP-90M1,KBP Instrument Design Bureau,,9×19mm Parabellum,Soviet Union,1990s,SMG
120,PP-91 KEDR,Izhmash,,9×18mm Makarov,Soviet Union,1970s,SMG
121,PP-93,KBP Instrument Design Bureau,,9×18mm Makarov,Russia,1993,SMG
122,PP-2000,KBP Instrument Design Bureau,,9×19mm Parabellum,Russia,2004,SMG
123,PPD-40,,,7.62×25mm Tokarev,Soviet Union,1940,SMG
124,PPS submachine gun,,,7.62×25mm Tokarev,Soviet Union,1942,SMG
125,PPSh-41,,,7.62×25mm Tokarev,Soviet Union,1941,SMG
126,QCW-05,China South Industries Group,,5.8×21mm DCV05,China,2001,PDW
127,Rexim-Favor,Rexim Small Arms Company,,9×19mm Parabellum,Switzerland,1953,SMG
128,Arsenal Shipka,Arsenal AD,,9×18mm Makarov9×19mm Parabellum,Bulgaria,1996,SMG
129,Sa vz. 23,,,9×19mm Parabellum7.62×25mm Tokarev,Czechoslovakia,1948,SMG
130,Saab Bofors Dynamics CBJ-MS,Saab Bofors Dynamics,,9×19mm Parabellum6.5×25 CBJ-MS,Sweden,2000s,SMG
131,Sanna 77,,,9×19mm Parabellum,South Africa Rhodesia,1977,SMG
132,SAR 109T,Sarsilmaz,,9×19mm Parabellum,Turkey,2014,SMG
133,Škorpion,Česká Zbrojovka Uherský Brod,,.32 ACP,Czechoslovakia,1961,"SMG, MP"
134,SIG MKMO,Schweizerische Industrie Gesellschaft,,9×19mm Parabellum,Switzerland,1930,SMG
135,SIG MPX,SIG Sauer,,9×19mm Parabellum,Germany United States,2013,SMG
136,Spasov M1944 Trigun,Hristo Spasov,,9×19mm Parabellum,Bulgaria,1944,SMG
137,Spectre M4,Società Italiana Tecnologie Speciali S.p.A.,,.45 ACP9×19mm Parabellum.40 S&W,Italy,1980,SMG
138,Socimi Type 821,Societa Costruzioni Industriali MilanoLuigi Franchi S.p.A.,,9×19mm Parabellum,Italy,1983,SMG
139,Sola submachine gun,Societe Luxembourgeoise SA,,9×19mm Parabellum,Luxembourg,1952,SMG
140,SR-2 Veresk,TsNIITochMash,,9×21mm Gyurza,Russia,1999,SMG
141,Standschütze Hellriegel M1915,A few prototypes made by members of the Austro-Hungarian military,,9×23mm Steyr,Austrian Empire Kingdom of Hungary,1915,Other
142,Stechkin automatic pistol,Tula Arms Plant,,9×18mm Makarov,Soviet Union,1948,MP
143,Sten,Royal Small Arms FactoryBSA and others,,9×19mm Parabellum,United Kingdom,1940,SMG
144,Sterling submachine gun,Sterling Armaments CompanyRoyal Ordnance Factories,,9×19mm Parabellum,United Kingdom,1945,SMG
145,Steyr AUG PARA,"Steyr Mannlicher Thales Australia, Lithgow FacilitySME Ordnance",,9×19mm Parabellum,Austria,1988,SMG
146,Steyr MPi 69,Steyr Mannlicher,,9×19mm Parabellum,Austria,1960s,SMG
147,Suomi KP/-31,Tikkakoski (company),,9×19mm Parabellum,Finland,1931,SMG
148,Thompson submachine gun,Auto-Ordnance Company,,.45 ACP,United States,1921,SMG
149,Tokarev Model 1927,,,7.62×38mmR Nagant,Soviet Union,1927,SMG
150,TSM-9-A1,Truvelo Armoury,,9×19mm Parabellum,South Africa,2020,SMG
151,Type 64 submachine gun,China North Industries Corporation,,7.62×25mm Type 51,China,1964,SMG
152,Type 77 submachine gun,Hsing Hua Arsenal,,9×19mm Parabellum,Republic of China,1985,SMG
153,Type 79 submachine gun,China North Industries Corporation,,7.62×25mm Tokarev,China,1970,SMG
154,Type 80 (pistol),Norinco,,7.62×25mm Tokarev,China,1980,SMG
155,Type 85 submachine gun,,,7.62×25mm Tokarev,China,1980s,SMG
156,Type 100 submachine gun,,,8×22mm Nambu,Japan,1939,SMG
157,TZ-45,Fabbrica Fratelli Giandoso,,9×19mm Parabellum,Italian Social Republic,1945,SMG
158,United Defense M42,United Defense Supply Corp,,9×19mm Parabellum.45 ACP,United States,1942,SMG
159,Uzi,"Israel Military Industries, Israel Weapon Industries, FN Herstal, Norinco, Lyttleton Engineering Works, (under Vektor Arms), RH-ALAN, Group Industries",,9×19mm Parabellum,Israel,1950,SMG
160,Vigneron submachine gun,,,9×19mm Parabellum,Belgium,1952,SMG
161,Villar Perosa aircraft submachine gun,Officine di Villar Perosa,,9mm Glisenti,Italy,1915,Other
162,Vityaz-SN,Kalashnikov Concern,,9×19mm Parabellum,Russia,2008,SMG
163,Walther MP,Walther arms,,9×19mm Parabellum.380 ACP,West Germany,1963,SMG
164,WG66,,,7.62×25mm Tokarev,East Germany,1966,SMG
165,Z-45,"Star Bonifacio Echeverria, S.A.",,9x19mm Parabellum9×23mm Largo.38 Super.45 ACP,Spain,1945,SMG
166,Z84,"Star Bonifacio Echeverria, S.A.",,9x19mm Parabellum,Spain,1984,SMG
167,Zagi M-91,,,9×19mm Parabellum,Yugoslavia Croatia,1991,SMG
168,ZB-47,Zbrojovka Brno,,9×19mm Parabellum,Czechoslovakia,1947,SMG
169,ZK-383,,,9×19mm Parabellum,Czechoslovakia,1930,SMG
